ID,ZIP,CITY,STATE,LAT,LONG
9019,21662,"ROYAL OAK",MD,38.74,-76.17
9020,21663,"SAINT MICHAELS",MD,38.78,-76.22
9021,21664,"SECRETARY",MD,38.6,-75.94
9022,21665,"SHERWOOD",MD,38.74,-76.32
9023,21666,"STEVENSVILLE",MD,38.99,-76.3
9024,21667,"STILL POND",MD,39.32,-76.05
9025,21668,"SUDLERSVILLE",MD,39.18,-75.85
9026,21669,"TAYLORS ISLAND",MD,38.46,-76.3
9027,21670,"TEMPLEVILLE",MD,39.13,-75.76
9028,21671,"TILGHMAN",MD,38.69,-76.33
9029,21672,"TODDVILLE",MD,38.27,-76.05
9030,21673,"TRAPPE",MD,38.65,-76.05
9031,21675,"WINGATE",MD,38.28,-76.08
9032,21676,"WITTMAN",MD,38.78,-76.3
9033,21677,"WOOLFORD",MD,38.5,-76.18
9034,21678,"WORTON",MD,39.29,-76.11
9035,21679,"WYE MILLS",MD,38.91,-76.08
9036,21681,"RIDGELY",MD,38.94,-75.88
9037,21682,"RIDGELY",MD,38.94,-75.88
9038,21683,"RIDGELY",MD,38.94,-75.88
9039,21684,"RIDGELY",MD,38.94,-75.88
9040,21685,"RIDGELY",MD,38.94,-75.88
9041,21686,"RIDGELY",MD,38.94,-75.88
9042,21687,"RIDGELY",MD,38.94,-75.88
9043,21688,"RIDGELY",MD,38.94,-75.88
9044,21690,"CHESTERTOWN",MD,39.21,-76.07
9045,21701,"FREDERICK",MD,39.42,-77.41
9046,21702,"FREDERICK",MD,39.42,-77.41
9047,21703,"FREDERICK",MD,39.42,-77.41
9048,21704,"FREDERICK",MD,39.42,-77.41
9049,21705,"FREDERICK",MD,39.42,-77.41
9050,21709,"FREDERICK",MD,39.42,-77.41
9051,21710,"ADAMSTOWN",MD,39.29,-77.45
9052,21711,"BIG POOL",MD,39.66,0
9053,21713,"BOONSBORO",MD,39.5,-77.65
